Record,Group,Matrix,Nanomaterial,Dose,Units,Organism,Endpoint,Response,Direction,Link
19,4,Dispersive,NanoSilver,0,mg/L,Allium cepa,H2o2 Generation In Root Tissue,0,More,http://dx.doi.org/10.1016/j.tiv.2011.03.008
20,4,Dispersive,NanoSilver,5,mg/L,Allium cepa,H2o2 Generation In Root Tissue,0.169811,More,http://dx.doi.org/10.1016/j.tiv.2011.03.008
21,4,Dispersive,NanoSilver,10,mg/L,Allium cepa,H2o2 Generation In Root Tissue,0.679252,More,http://dx.doi.org/10.1016/j.tiv.2011.03.008
22,4,Dispersive,NanoSilver,20,mg/L,Allium cepa,H2o2 Generation In Root Tissue,1.11321,More,http://dx.doi.org/10.1016/j.tiv.2011.03.008
23,4,Dispersive,NanoSilver,40,mg/L,Allium cepa,H2o2 Generation In Root Tissue,1.679252,More,http://dx.doi.org/10.1016/j.tiv.2011.03.008
24,4,Dispersive,NanoSilver,80,mg/L,Allium cepa,H2o2 Generation In Root Tissue,2.11321,More,http://dx.doi.org/10.1016/j.tiv.2011.03.008
25,5,Dispersive,NanoSilver,0,mg/L,Daphnia magna,Mortality,0,More,http://dx.doi.org/10.1039/C1EM10060B
26,5,Dispersive,NanoSilver,0.01,mg/L,Daphnia magna,Mortality,0.0667,More,http://dx.doi.org/10.1039/C1EM10060B
27,5,Dispersive,NanoSilver,0.1,mg/L,Daphnia magna,Mortality,0.5667,More,http://dx.doi.org/10.1039/C1EM10060B
28,5,Dispersive,NanoSilver,1,mg/L,Daphnia magna,Mortality,1,More,http://dx.doi.org/10.1039/C1EM10060B
29,5,Dispersive,NanoSilver,10,mg/L,Daphnia magna,Mortality,1,More,http://dx.doi.org/10.1039/C1EM10060B
30,6,Dispersive,NanoSilver,0,mg/L,Daphnia magna,Cumulative Moulting,0,Less,http://dx.doi.org/10.1039/C1EM10060B
31,6,Dispersive,NanoSilver,0.01,mg/L,Daphnia magna,Cumulative Moulting,0.032966,Less,http://dx.doi.org/10.1039/C1EM10060B
32,6,Dispersive,NanoSilver,0.1,mg/L,Daphnia magna,Cumulative Moulting,0.219777,Less,http://dx.doi.org/10.1039/C1EM10060B
33,6,Dispersive,NanoSilver,1,mg/L,Daphnia magna,Cumulative Moulting,1,Less,http://dx.doi.org/10.1039/C1EM10060B
34,6,Dispersive,NanoSilver,10,mg/L,Daphnia magna,Cumulative Moulting,1,Less,http://dx.doi.org/10.1039/C1EM10060B
35,7,Dispersive,NanoSilver,0,mg/L,Daphnia magna,Mortality,0,More,http://dx.doi.org/10.1039/C1EM10060B
36,7,Dispersive,NanoSilver,0.001,mg/L,Daphnia magna,Mortality,0.3,More,http://dx.doi.org/10.1039/C1EM10060B
37,7,Dispersive,NanoSilver,0.005,mg/L,Daphnia magna,Mortality,0,More,http://dx.doi.org/10.1039/C1EM10060B
38,7,Dispersive,NanoSilver,0.01,mg/L,Daphnia magna,Mortality,0.1,More,http://dx.doi.org/10.1039/C1EM10060B
39,7,Dispersive,NanoSilver,0.05,mg/L,Daphnia magna,Mortality,0.2,More,http://dx.doi.org/10.1039/C1EM10060B
40,8,Dispersive,NanoSilver,0,mg/L,Daphnia magna,Cumulative Moulting,0,Less,http://dx.doi.org/10.1039/C1EM10060B
41,8,Dispersive,NanoSilver,0.001,mg/L,Daphnia magna,Cumulative Moulting,0.128441,Less,http://dx.doi.org/10.1039/C1EM10060B
42,8,Dispersive,NanoSilver,0.005,mg/L,Daphnia magna,Cumulative Moulting,0,Less,http://dx.doi.org/10.1039/C1EM10060B
43,8,Dispersive,NanoSilver,0.01,mg/L,Daphnia magna,Cumulative Moulting,0.027523,Less,http://dx.doi.org/10.1039/C1EM10060B
44,8,Dispersive,NanoSilver,0.05,mg/L,Daphnia magna,Cumulative Moulting,0.091743,Less,http://dx.doi.org/10.1039/C1EM10060B
45,9,Dispersive,NanoSilver,0,mg/L,Daphnia magna,Body Length,0,Less,http://dx.doi.org/10.1039/C1EM10060B
46,9,Dispersive,NanoSilver,0.001,mg/L,Daphnia magna,Body Length,0.085715,Less,http://dx.doi.org/10.1039/C1EM10060B
47,9,Dispersive,NanoSilver,0.005,mg/L,Daphnia magna,Body Length,0.009523,Less,http://dx.doi.org/10.1039/C1EM10060B
48,9,Dispersive,NanoSilver,0.01,mg/L,Daphnia magna,Body Length,0.009523,Less,http://dx.doi.org/10.1039/C1EM10060B
49,9,Dispersive,NanoSilver,0.05,mg/L,Daphnia magna,Body Length,0.019049,Less,http://dx.doi.org/10.1039/C1EM10060B
57,11,Dispersive,NanoSilver,0,mg/L,Daphnia magna,Weight,0,Less,http://dx.doi.org/10.4491/eer.2010.15.1.428
58,11,Dispersive,NanoSilver,0.0005,mg/L,Daphnia magna,Weight,0.112957,Less,http://dx.doi.org/10.4491/eer.2010.15.1.428
59,11,Dispersive,NanoSilver,0.001,mg/L,Daphnia magna,Weight,0.0299,Less,http://dx.doi.org/10.4491/eer.2010.15.1.428
60,11,Dispersive,NanoSilver,0.0015,mg/L,Daphnia magna,Weight,0.056478,Less,http://dx.doi.org/10.4491/eer.2010.15.1.428
61,12,Dispersive,NanoSilver,0,mg/L,Daphnia magna,Reproduction,0,Less,http://dx.doi.org/10.4491/eer.2010.15.1.428
62,12,Dispersive,NanoSilver,0.0005,mg/L,Daphnia magna,Reproduction,0.049695,Less,http://dx.doi.org/10.4491/eer.2010.15.1.428
63,12,Dispersive,NanoSilver,0.001,mg/L,Daphnia magna,Reproduction,0.063214,Less,http://dx.doi.org/10.4491/eer.2010.15.1.428
64,12,Dispersive,NanoSilver,0.0015,mg/L,Daphnia magna,Reproduction,0.075019,Less,http://dx.doi.org/10.4491/eer.2010.15.1.428
65,13,Dispersive,NanoSilver,0,mg/L,Daphnia magna,Population Rate,0,Less,http://dx.doi.org/10.1016/j.aquatox.2010.08.013
66,13,Dispersive,NanoSilver,0.2,mg/L,Daphnia magna,Population Rate,0.192982,Less,http://dx.doi.org/10.1016/j.aquatox.2010.08.013
67,13,Dispersive,NanoSilver,0.5,mg/L,Daphnia magna,Population Rate,0.22807,Less,http://dx.doi.org/10.1016/j.aquatox.2010.08.013
68,13,Dispersive,NanoSilver,1,mg/L,Daphnia magna,Population Rate,0.321637,Less,http://dx.doi.org/10.1016/j.aquatox.2010.08.013
69,14,Dispersive,NanoSilver,0,mg/L,Daphnia magna,Emergency Rate,0,Less,http://dx.doi.org/10.1016/j.aquatox.2010.08.013
70,14,Dispersive,NanoSilver,0.2,mg/L,Daphnia magna,Emergency Rate,0.263473,Less,http://dx.doi.org/10.1016/j.aquatox.2010.08.013
71,14,Dispersive,NanoSilver,0.5,mg/L,Daphnia magna,Emergency Rate,0.251497,Less,http://dx.doi.org/10.1016/j.aquatox.2010.08.013
72,14,Dispersive,NanoSilver,1,mg/L,Daphnia magna,Emergency Rate,0.449102,Less,http://dx.doi.org/10.1016/j.aquatox.2010.08.013
73,15,Dispersive,NanoSilver,0,mg/L,Danio rerio,Heart Rate @ 72 Hpf,0,Less,http://dx.doi.org/10.1088/0957-4484/19/25/255102
74,15,Dispersive,NanoSilver,5,mg/L,Danio rerio,Heart Rate @ 72 Hpf,0.098215,Less,http://dx.doi.org/10.1088/0957-4484/19/25/255102
75,15,Dispersive,NanoSilver,10,mg/L,Danio rerio,Heart Rate @ 72 Hpf,0.098215,Less,http://dx.doi.org/10.1088/0957-4484/19/25/255102
76,15,Dispersive,NanoSilver,25,mg/L,Danio rerio,Heart Rate @ 72 Hpf,0,Less,http://dx.doi.org/10.1088/0957-4484/19/25/255102
77,15,Dispersive,NanoSilver,50,mg/L,Danio rerio,Heart Rate @ 72 Hpf,0.388391,Less,http://dx.doi.org/10.1088/0957-4484/19/25/255102
78,15,Dispersive,NanoSilver,100,mg/L,Danio rerio,Heart Rate @ 72 Hpf,0.39732,Less,http://dx.doi.org/10.1088/0957-4484/19/25/255102
79,16,Dispersive,NanoSilver,0,mg/L,Danio rerio,Heart Rate @ 72 Hpf,0,Less,http://dx.doi.org/10.1088/0957-4484/19/25/255102
80,16,Dispersive,NanoSilver,5,mg/L,Danio rerio,Heart Rate @ 72 Hpf,0.03674,Less,http://dx.doi.org/10.1088/0957-4484/19/25/255102
81,16,Dispersive,NanoSilver,10,mg/L,Danio rerio,Heart Rate @ 72 Hpf,0.09388,Less,http://dx.doi.org/10.1088/0957-4484/19/25/255102
82,16,Dispersive,NanoSilver,25,mg/L,Danio rerio,Heart Rate @ 72 Hpf,0.15102,Less,http://dx.doi.org/10.1088/0957-4484/19/25/255102
83,16,Dispersive,NanoSilver,50,mg/L,Danio rerio,Heart Rate @ 72 Hpf,0.424491,Less,http://dx.doi.org/10.1088/0957-4484/19/25/255102
84,16,Dispersive,NanoSilver,100,mg/L,Danio rerio,Heart Rate @ 72 Hpf,0.791837,Less,http://dx.doi.org/10.1088/0957-4484/19/25/255102
85,17,Dispersive,NanoSilver,0,mg/L,Danio rerio,Hatching Rate,0,Less,http://dx.doi.org/10.1088/0957-4484/19/25/255102
86,17,Dispersive,NanoSilver,5,mg/L,Danio rerio,Hatching Rate,0.0008,Less,http://dx.doi.org/10.1088/0957-4484/19/25/255102
87,17,Dispersive,NanoSilver,10,mg/L,Danio rerio,Hatching Rate,0.001645,Less,http://dx.doi.org/10.1088/0957-4484/19/25/255102
88,17,Dispersive,NanoSilver,25,mg/L,Danio rerio,Hatching Rate,0.002367,Less,http://dx.doi.org/10.1088/0957-4484/19/25/255102
89,17,Dispersive,NanoSilver,50,mg/L,Danio rerio,Hatching Rate,0.167577,Less,http://dx.doi.org/10.1088/0957-4484/19/25/255102
90,17,Dispersive,NanoSilver,100,mg/L,Danio rerio,Hatching Rate,0.670921,Less,http://dx.doi.org/10.1088/0957-4484/19/25/255102
91,18,Dispersive,NanoSilver,0,mg/L,Danio rerio,Hatching Rate,0,Less,http://dx.doi.org/10.1088/0957-4484/19/25/255102
92,18,Dispersive,NanoSilver,5,mg/L,Danio rerio,Hatching Rate,0.005631,Less,http://dx.doi.org/10.1088/0957-4484/19/25/255102
93,18,Dispersive,NanoSilver,10,mg/L,Danio rerio,Hatching Rate,0.006465,Less,http://dx.doi.org/10.1088/0957-4484/19/25/255102
94,18,Dispersive,NanoSilver,25,mg/L,Danio rerio,Hatching Rate,0.161192,Less,http://dx.doi.org/10.1088/0957-4484/19/25/255102
95,18,Dispersive,NanoSilver,50,mg/L,Danio rerio,Hatching Rate,0.214913,Less,http://dx.doi.org/10.1088/0957-4484/19/25/255102
96,18,Dispersive,NanoSilver,100,mg/L,Danio rerio,Hatching Rate,0.836221,Less,http://dx.doi.org/10.1088/0957-4484/19/25/255102
109,21,Dispersive,NanoSilver,0,mg/L,Danio rerio,Mortality,0,More,http://dx.doi.org/10.3109/17435390.2010.489207
110,21,Dispersive,NanoSilver,10,mg/L,Danio rerio,Mortality,0.033329,More,http://dx.doi.org/10.3109/17435390.2010.489207
111,21,Dispersive,NanoSilver,25,mg/L,Danio rerio,Mortality,0.139997,More,http://dx.doi.org/10.3109/17435390.2010.489207
112,21,Dispersive,NanoSilver,50,mg/L,Danio rerio,Mortality,0.25333,More,http://dx.doi.org/10.3109/17435390.2010.489207
113,21,Dispersive,NanoSilver,75,mg/L,Danio rerio,Mortality,0.439998,More,http://dx.doi.org/10.3109/17435390.2010.489207
114,21,Dispersive,NanoSilver,100,mg/L,Danio rerio,Mortality,0.573332,More,http://dx.doi.org/10.3109/17435390.2010.489207
115,22,Dispersive,NanoSilver,0,mg/L,Danio rerio,Hatching Rate,0,Less,http://dx.doi.org/10.3109/17435390.2010.489207
116,22,Dispersive,NanoSilver,10,mg/L,Danio rerio,Hatching Rate,0.0875,Less,http://dx.doi.org/10.3109/17435390.2010.489207
117,22,Dispersive,NanoSilver,25,mg/L,Danio rerio,Hatching Rate,0.10625,Less,http://dx.doi.org/10.3109/17435390.2010.489207
118,22,Dispersive,NanoSilver,50,mg/L,Danio rerio,Hatching Rate,0.1375,Less,http://dx.doi.org/10.3109/17435390.2010.489207
119,22,Dispersive,NanoSilver,75,mg/L,Danio rerio,Hatching Rate,0.55,Less,http://dx.doi.org/10.3109/17435390.2010.489207
120,22,Dispersive,NanoSilver,100,mg/L,Danio rerio,Hatching Rate,0.70625,Less,http://dx.doi.org/10.3109/17435390.2010.489207
121,23,Dispersive,NanoSilver,0,mg/L,Danio rerio,Heart Rate @ 24 Hpf,0,Less,http://dx.doi.org/10.3109/17435390.2010.489207
122,23,Dispersive,NanoSilver,10,mg/L,Danio rerio,Heart Rate @ 24 Hpf,0.038094,Less,http://dx.doi.org/10.3109/17435390.2010.489207
123,23,Dispersive,NanoSilver,25,mg/L,Danio rerio,Heart Rate @ 24 Hpf,0.019048,Less,http://dx.doi.org/10.3109/17435390.2010.489207
124,23,Dispersive,NanoSilver,50,mg/L,Danio rerio,Heart Rate @ 24 Hpf,0.333333,Less,http://dx.doi.org/10.3109/17435390.2010.489207
125,23,Dispersive,NanoSilver,75,mg/L,Danio rerio,Heart Rate @ 24 Hpf,0.419047,Less,http://dx.doi.org/10.3109/17435390.2010.489207
126,23,Dispersive,NanoSilver,100,mg/L,Danio rerio,Heart Rate @ 24 Hpf,0.428571,Less,http://dx.doi.org/10.3109/17435390.2010.489207
127,24,Dispersive,NanoSilver,0,mg/L,Danio rerio,Heart Rate @ 48 Hpf,0,Less,http://dx.doi.org/10.3109/17435390.2010.489207
128,24,Dispersive,NanoSilver,10,mg/L,Danio rerio,Heart Rate @ 48 Hpf,0.021282,Less,http://dx.doi.org/10.3109/17435390.2010.489207
129,24,Dispersive,NanoSilver,25,mg/L,Danio rerio,Heart Rate @ 48 Hpf,0.07234,Less,http://dx.doi.org/10.3109/17435390.2010.489207
130,24,Dispersive,NanoSilver,50,mg/L,Danio rerio,Heart Rate @ 48 Hpf,0.489363,Less,http://dx.doi.org/10.3109/17435390.2010.489207
131,24,Dispersive,NanoSilver,75,mg/L,Danio rerio,Heart Rate @ 48 Hpf,0.536172,Less,http://dx.doi.org/10.3109/17435390.2010.489207
132,24,Dispersive,NanoSilver,100,mg/L,Danio rerio,Heart Rate @ 48 Hpf,0.548937,Less,http://dx.doi.org/10.3109/17435390.2010.489207
133,25,Dispersive,NanoSilver,0,mg/L,Danio rerio,Heart Rate @ 72 Hpf,0,Less,http://dx.doi.org/10.3109/17435390.2010.489207
134,25,Dispersive,NanoSilver,10,mg/L,Danio rerio,Heart Rate @ 72 Hpf,0.067799,Less,http://dx.doi.org/10.3109/17435390.2010.489207
135,25,Dispersive,NanoSilver,25,mg/L,Danio rerio,Heart Rate @ 72 Hpf,0.093224,Less,http://dx.doi.org/10.3109/17435390.2010.489207
136,25,Dispersive,NanoSilver,50,mg/L,Danio rerio,Heart Rate @ 72 Hpf,0.20339,Less,http://dx.doi.org/10.3109/17435390.2010.489207
137,25,Dispersive,NanoSilver,75,mg/L,Danio rerio,Heart Rate @ 72 Hpf,0.51695,Less,http://dx.doi.org/10.3109/17435390.2010.489207
138,25,Dispersive,NanoSilver,100,mg/L,Danio rerio,Heart Rate @ 72 Hpf,0.550848,Less,http://dx.doi.org/10.3109/17435390.2010.489207
139,26,Dispersive,NanoSilver,0,mg/L,Allium cepa,Mitotic Index,0,Less,http://dx.doi.org/10.1016/j.scitotenv.2009.06.024
140,26,Dispersive,NanoSilver,25,mg/L,Allium cepa,Mitotic Index,0.387065,Less,http://dx.doi.org/10.1016/j.scitotenv.2009.06.024
141,26,Dispersive,NanoSilver,50,mg/L,Allium cepa,Mitotic Index,0.366501,Less,http://dx.doi.org/10.1016/j.scitotenv.2009.06.024
142,26,Dispersive,NanoSilver,75,mg/L,Allium cepa,Mitotic Index,0.51675,Less,http://dx.doi.org/10.1016/j.scitotenv.2009.06.024
143,26,Dispersive,NanoSilver,100,mg/L,Allium cepa,Mitotic Index,0.541957,Less,http://dx.doi.org/10.1016/j.scitotenv.2009.06.024
144,27,Dispersive,NanoSilver,0,mg/L,human lung carcinoma epithelial-like cell,Mitochondrial Activity,0,Less,http://dx.doi.org/10.1007/s00204-010-0545-5
145,27,Dispersive,NanoSilver,0.5,mg/L,human lung carcinoma epithelial-like cell,Mitochondrial Activity,0.147958,Less,http://dx.doi.org/10.1007/s00204-010-0545-5
146,27,Dispersive,NanoSilver,1,mg/L,human lung carcinoma epithelial-like cell,Mitochondrial Activity,0.188775,Less,http://dx.doi.org/10.1007/s00204-010-0545-5
147,27,Dispersive,NanoSilver,2.5,mg/L,human lung carcinoma epithelial-like cell,Mitochondrial Activity,0.239795,Less,http://dx.doi.org/10.1007/s00204-010-0545-5
148,27,Dispersive,NanoSilver,5,mg/L,human lung carcinoma epithelial-like cell,Mitochondrial Activity,0.331632,Less,http://dx.doi.org/10.1007/s00204-010-0545-5
149,27,Dispersive,NanoSilver,10,mg/L,human lung carcinoma epithelial-like cell,Mitochondrial Activity,0.443877,Less,http://dx.doi.org/10.1007/s00204-010-0545-5
150,27,Dispersive,NanoSilver,12.5,mg/L,human lung carcinoma epithelial-like cell,Mitochondrial Activity,0.540816,Less,http://dx.doi.org/10.1007/s00204-010-0545-5
151,27,Dispersive,NanoSilver,15,mg/L,human lung carcinoma epithelial-like cell,Mitochondrial Activity,0.647959,Less,http://dx.doi.org/10.1007/s00204-010-0545-5
152,27,Dispersive,NanoSilver,20,mg/L,human lung carcinoma epithelial-like cell,Mitochondrial Activity,0.841836,Less,http://dx.doi.org/10.1007/s00204-010-0545-5
153,28,Dispersive,NanoSilver,0,mg/L,human lung carcinoma epithelial-like cell,Mortality,0,More,http://dx.doi.org/10.1007/s00204-010-0545-5
154,28,Dispersive,NanoSilver,1,mg/L,human lung carcinoma epithelial-like cell,Mortality,0,More,http://dx.doi.org/10.1007/s00204-010-0545-5
155,28,Dispersive,NanoSilver,2.5,mg/L,human lung carcinoma epithelial-like cell,Mortality,0.180412,More,http://dx.doi.org/10.1007/s00204-010-0545-5
156,28,Dispersive,NanoSilver,5,mg/L,human lung carcinoma epithelial-like cell,Mortality,0.407216,More,http://dx.doi.org/10.1007/s00204-010-0545-5
157,28,Dispersive,NanoSilver,10,mg/L,human lung carcinoma epithelial-like cell,Mortality,0.675257,More,http://dx.doi.org/10.1007/s00204-010-0545-5
158,28,Dispersive,NanoSilver,15,mg/L,human lung carcinoma epithelial-like cell,Mortality,0.706186,More,http://dx.doi.org/10.1007/s00204-010-0545-5
159,29,Dispersive,NanoSilver,0,mg/L,Human mesenchymal stem cells,Mortality,0,More,http://dx.doi.org/10.1016/j.toxlet.2010.12.001
160,29,Dispersive,NanoSilver,0.01,mg/L,Human mesenchymal stem cells,Mortality,0.009524,More,http://dx.doi.org/10.1016/j.toxlet.2010.12.001
161,29,Dispersive,NanoSilver,0.1,mg/L,Human mesenchymal stem cells,Mortality,0.009524,More,http://dx.doi.org/10.1016/j.toxlet.2010.12.001
162,29,Dispersive,NanoSilver,1,mg/L,Human mesenchymal stem cells,Mortality,0.042857,More,http://dx.doi.org/10.1016/j.toxlet.2010.12.001
163,29,Dispersive,NanoSilver,10,mg/L,Human mesenchymal stem cells,Mortality,0.785714,More,http://dx.doi.org/10.1016/j.toxlet.2010.12.001
164,30,Dispersive,NanoSilver,0,mg/L,Carex lurida,Seed Germination,0,Less,http://dx.doi.org/10.1371/journal.pone.0047674
165,30,Dispersive,NanoSilver,1,mg/L,Carex lurida,Seed Germination,0.156863,Less,http://dx.doi.org/10.1371/journal.pone.0047674
166,30,Dispersive,NanoSilver,10,mg/L,Carex lurida,Seed Germination,0.039216,Less,http://dx.doi.org/10.1371/journal.pone.0047674
167,30,Dispersive,NanoSilver,40,mg/L,Carex lurida,Seed Germination,0.156863,Less,http://dx.doi.org/10.1371/journal.pone.0047674
168,31,Dispersive,NanoSilver,0,mg/L,Carex crinita,Seed Germination,0,Less,http://dx.doi.org/10.1371/journal.pone.0047674
169,31,Dispersive,NanoSilver,1,mg/L,Carex crinita,Seed Germination,0.020408,Less,http://dx.doi.org/10.1371/journal.pone.0047674
170,31,Dispersive,NanoSilver,10,mg/L,Carex crinita,Seed Germination,0.061224,Less,http://dx.doi.org/10.1371/journal.pone.0047674
171,31,Dispersive,NanoSilver,40,mg/L,Carex crinita,Seed Germination,0.040816,Less,http://dx.doi.org/10.1371/journal.pone.0047674
172,32,Dispersive,NanoSilver,0,mg/L,Carex scoparia,Seed Germination,0,Less,http://dx.doi.org/10.1371/journal.pone.0047674
173,32,Dispersive,NanoSilver,1,mg/L,Carex scoparia,Seed Germination,0.013889,Less,http://dx.doi.org/10.1371/journal.pone.0047674
174,32,Dispersive,NanoSilver,10,mg/L,Carex scoparia,Seed Germination,0.041667,Less,http://dx.doi.org/10.1371/journal.pone.0047674
175,32,Dispersive,NanoSilver,40,mg/L,Carex scoparia,Seed Germination,0,Less,http://dx.doi.org/10.1371/journal.pone.0047674
176,33,Dispersive,NanoSilver,0,mg/L,Carex vulpinoidea,Seed Germination,0,Less,http://dx.doi.org/10.1371/journal.pone.0047674
177,33,Dispersive,NanoSilver,1,mg/L,Carex vulpinoidea,Seed Germination,0.224138,Less,http://dx.doi.org/10.1371/journal.pone.0047674
178,33,Dispersive,NanoSilver,10,mg/L,Carex vulpinoidea,Seed Germination,0.241379,Less,http://dx.doi.org/10.1371/journal.pone.0047674
179,33,Dispersive,NanoSilver,40,mg/L,Carex vulpinoidea,Seed Germination,0.172414,Less,http://dx.doi.org/10.1371/journal.pone.0047674
180,34,Dispersive,NanoSilver,0,mg/L,Scirpus syperinus,Seed Germination,0,Less,http://dx.doi.org/10.1371/journal.pone.0047674
181,34,Dispersive,NanoSilver,1,mg/L,Scirpus syperinus,Seed Germination,0.184615,Less,http://dx.doi.org/10.1371/journal.pone.0047674
182,34,Dispersive,NanoSilver,10,mg/L,Scirpus syperinus,Seed Germination,0.323077,Less,http://dx.doi.org/10.1371/journal.pone.0047674
183,34,Dispersive,NanoSilver,40,mg/L,Scirpus syperinus,Seed Germination,0.076923,Less,http://dx.doi.org/10.1371/journal.pone.0047674
184,35,Dispersive,NanoSilver,0,mg/L,Juncus effusus,Seed Germination,0,Less,http://dx.doi.org/10.1371/journal.pone.0047674
185,35,Dispersive,NanoSilver,1,mg/L,Juncus effusus,Seed Germination,0.454545,Less,http://dx.doi.org/10.1371/journal.pone.0047674
186,35,Dispersive,NanoSilver,10,mg/L,Juncus effusus,Seed Germination,0.136364,Less,http://dx.doi.org/10.1371/journal.pone.0047674
187,35,Dispersive,NanoSilver,40,mg/L,Juncus effusus,Seed Germination,0.181818,Less,http://dx.doi.org/10.1371/journal.pone.0047674
188,36,Dispersive,NanoSilver,0,mg/L,Lolium multiflorum,Seed Germination,0,Less,http://dx.doi.org/10.1371/journal.pone.0047674
189,36,Dispersive,NanoSilver,1,mg/L,Lolium multiflorum,Seed Germination,0.054054,Less,http://dx.doi.org/10.1371/journal.pone.0047674
190,36,Dispersive,NanoSilver,10,mg/L,Lolium multiflorum,Seed Germination,0.067568,Less,http://dx.doi.org/10.1371/journal.pone.0047674
191,36,Dispersive,NanoSilver,40,mg/L,Lolium multiflorum,Seed Germination,0.094595,Less,http://dx.doi.org/10.1371/journal.pone.0047674
192,37,Dispersive,NanoSilver,0,mg/L,Panicum virgatum,Seed Germination,0,Less,http://dx.doi.org/10.1371/journal.pone.0047674
193,37,Dispersive,NanoSilver,1,mg/L,Panicum virgatum,Seed Germination,0.242424,Less,http://dx.doi.org/10.1371/journal.pone.0047674
194,37,Dispersive,NanoSilver,10,mg/L,Panicum virgatum,Seed Germination,0.181818,Less,http://dx.doi.org/10.1371/journal.pone.0047674
195,37,Dispersive,NanoSilver,40,mg/L,Panicum virgatum,Seed Germination,0.242424,Less,http://dx.doi.org/10.1371/journal.pone.0047674
196,38,Dispersive,NanoSilver,0,mg/L,Eupatorium fistulosum,Seed Germination,0,Less,http://dx.doi.org/10.1371/journal.pone.0047674
197,38,Dispersive,NanoSilver,1,mg/L,Eupatorium fistulosum,Seed Germination,0.269231,Less,http://dx.doi.org/10.1371/journal.pone.0047674
198,38,Dispersive,NanoSilver,10,mg/L,Eupatorium fistulosum,Seed Germination,0.230769,Less,http://dx.doi.org/10.1371/journal.pone.0047674
199,38,Dispersive,NanoSilver,40,mg/L,Eupatorium fistulosum,Seed Germination,0.230769,Less,http://dx.doi.org/10.1371/journal.pone.0047674
200,39,Dispersive,NanoSilver,0,mg/L,Lobelia cardinalis,Seed Germination,0,Less,http://dx.doi.org/10.1371/journal.pone.0047674
201,39,Dispersive,NanoSilver,1,mg/L,Lobelia cardinalis,Seed Germination,0,Less,http://dx.doi.org/10.1371/journal.pone.0047674
202,39,Dispersive,NanoSilver,10,mg/L,Lobelia cardinalis,Seed Germination,0.125,Less,http://dx.doi.org/10.1371/journal.pone.0047674
203,39,Dispersive,NanoSilver,40,mg/L,Lobelia cardinalis,Seed Germination,0.25,Less,http://dx.doi.org/10.1371/journal.pone.0047674
204,40,Dispersive,NanoSilver,0,mg/L,Phytolacca americana,Seed Germination,0,Less,http://dx.doi.org/10.1371/journal.pone.0047674
205,40,Dispersive,NanoSilver,1,mg/L,Phytolacca americana,Seed Germination,0.116667,Less,http://dx.doi.org/10.1371/journal.pone.0047674
